Grid_ID,Grid_Row,Grid_Col,Center_Latitude,Center_Longitude,Min_Latitude,Max_Latitude,Min_Longitude,Max_Longitude
9_18,18,9,40.506175,140.749514,40.46113,40.55122,140.692351,140.806677
10_18,18,10,40.506175,140.86384,40.46113,40.55122,140.806677,140.921003
11_18,18,11,40.506175,140.978166,40.46113,40.55122,140.921003,141.035329
12_18,18,12,40.506175,141.092492,40.46113,40.55122,141.035329,141.149655
0_19,19,0,40.596265,139.72058,40.55122,40.64131,139.663417,139.777743
1_19,19,1,40.596265,139.834906,40.55122,40.64131,139.777743,139.892069
2_19,19,2,40.596265,139.949232,40.55122,40.64131,139.892069,140.006395
3_19,19,3,40.596265,140.063558,40.55122,40.64131,140.006395,140.120721
4_19,19,4,40.596265,140.177884,40.55122,40.64131,140.120721,140.235047
5_19,19,5,40.596265,140.29221,40.55122,40.64131,140.235047,140.349373
6_19,19,6,40.596265,140.406536,40.55122,40.64131,140.349373,140.463699
7_19,19,7,40.596265,140.520862,40.55122,40.64131,140.463699,140.578025
8_19,19,8,40.596265,140.635188,40.55122,40.64131,140.578025,140.692351
9_19,19,9,40.596265,140.749514,40.55122,40.64131,140.692351,140.806677
10_19,19,10,40.596265,140.86384,40.55122,40.64131,140.806677,140.921003
11_19,19,11,40.596265,140.978166,40.55122,40.64131,140.921003,141.035329
12_19,19,12,40.596265,141.092492,40.55122,40.64131,141.035329,141.149655
