Grid_ID,Grid_Row,Grid_Col,Center_Latitude,Center_Longitude,Min_Latitude,Max_Latitude,Min_Longitude,Max_Longitude
2_14,14,2,39.064737,139.834906,39.019692,39.109782,139.777743,139.892069
3_14,14,3,39.064737,139.949232,39.019692,39.109782,139.892069,140.006395
4_14,14,4,39.064737,140.063558,39.019692,39.109782,140.006395,140.120721
5_14,14,5,39.064737,140.177884,39.019692,39.109782,140.120721,140.235047
6_14,14,6,39.064737,140.29221,39.019692,39.109782,140.235047,140.349373
7_14,14,7,39.064737,140.406536,39.019692,39.109782,140.349373,140.463699
8_14,14,8,39.064737,140.520862,39.019692,39.109782,140.463699,140.578025
0_15,15,0,39.154827,139.606254,39.109782,39.199872,139.549091,139.663417
1_15,15,1,39.154827,139.72058,39.109782,39.199872,139.663417,139.777743
2_15,15,2,39.154827,139.834906,39.109782,39.199872,139.777743,139.892069
3_15,15,3,39.154827,139.949232,39.109782,39.199872,139.892069,140.006395
4_15,15,4,39.154827,140.063558,39.109782,39.199872,140.006395,140.120721
5_15,15,5,39.154827,140.177884,39.109782,39.199872,140.120721,140.235047
6_15,15,6,39.154827,140.29221,39.109782,39.199872,140.235047,140.349373
7_15,15,7,39.154827,140.406536,39.109782,39.199872,140.349373,140.463699
8_15,15,8,39.154827,140.520862,39.109782,39.199872,140.463699,140.578025
